ka,QUB-1398,16/06/2019,23/06/2019,480
gol,OBT-1842,07/03/2019,30/03/2019,1872
fiesta,MGG-3957,15/06/2019,04/07/2019,1640
mobi,PIH-7072,23/07/2019,03/08/2019,968
ka,LXD-4902,27/02/2019,09/03/2019,882
fit,NRM-9202,17/11/2019,09/12/2019,1616
gol,OBT-1842,23/01/2020,03/02/2020,939
prisma,HZO-2282,02/11/2019,22/11/2019,1479
fit,UIW-0509,05/02/2019,10/02/2019,383
ka,DFU-2495,18/04/2019,10/05/2019,1738
gol,AYE-6806,02/03/2020,14/03/2020,1078
gol,OBT-1842,17/09/2019,22/09/2019,446
ka,DFU-2495,27/04/2019,03/05/2019,485
polo,VGS-2609,31/10/2019,15/11/2019,1082
etios,RYL-5140,22/02/2019,26/02/2019,275
cobalt,AFU-3062,01/06/2019,20/06/2019,1504
gol,OBT-1842,11/01/2019,11/02/2019,2642
prisma,NRX-8323,22/10/2019,14/11/2019,1609
gol,AYE-6806,06/02/2019,09/03/2019,1988
up,BQW-8446,21/08/2019,20/09/2019,2472
etios,HLK-0219,19/07/2019,15/08/2019,2397
polo,AKR-9372,02/05/2019,23/05/2019,1863
yaris,IMV-7755,18/03/2019,15/04/2019,2126
ka,QUB-1398,15/03/2020,13/04/2020,2560
fit,UIW-0509,12/10/2019,06/11/2019,1697
polo,WIW-1273,06/01/2019,05/02/2019,2261
gol,OBT-1842,03/10/2019,24/10/2019,1337
fiesta,CVR-6258,24/09/2019,08/10/2019,890
gol,ZVU-1362,23/06/2019,21/07/2019,1850
fiesta,JZM-1560,31/03/2019,21/04/2019,1663
fiesta,SSZ-2730,16/03/2019,27/03/2019,702
polo,VGS-2609,27/01/2019,11/02/2019,1194
fit,FUI-1448,01/05/2019,08/05/2019,440
cobalt,VVF-5290,30/03/2020,20/04/2020,1587
cobalt,VVF-5290,26/01/2020,09/02/2020,1129
prisma,NRX-8323,17/01/2019,29/01/2019,860
etios,RYL-5140,28/11/2019,29/12/2019,2317
etios,TBG-3393,11/07/2019,09/08/2019,2456
cobalt,NIP-1547,22/06/2019,05/07/2019,976
gol,YCH-1476,14/03/2019,01/04/2019,1380
etios,NMN-0384,15/09/2019,15/10/2019,2260
polo,WIW-1273,05/11/2019,07/11/2019,167
mobi,PIH-7072,25/06/2019,06/07/2019,908
up,GER-3318,21/02/2019,13/03/2019,1718
prisma,TFN-3716,05/06/2019,18/06/2019,809
gol,YCH-1476,03/01/2020,08/01/2020,316
polo,WIW-1273,19/01/2020,10/02/2020,1679
mobi,PIH-7072,16/01/2019,28/01/2019,746
fiesta,MGG-3957,23/08/2019,03/09/2019,884
gol,ZVU-1362,30/09/2019,28/10/2019,1887
cobalt,NIP-1547,29/10/2019,06/11/2019,493
cobalt,NIP-1547,13/10/2019,01/11/2019,1527
prisma,NRS-4391,19/01/2019,13/02/2019,2199
etios,NMN-0384,17/08/2019,03/09/2019,1040
polo,VGS-2609,01/11/2019,21/11/2019,1551
gol,OBT-1842,27/08/2019,22/09/2019,2177
cobalt,VVF-5290,23/11/2019,25/11/2019,165
ka,LXD-4902,16/10/2019,07/11/2019,1412
gol,ZVU-1362,30/10/2019,13/11/2019,1032
gol,ZVU-1362,20/01/2019,05/02/2019,1388
cobalt,AFU-3062,21/06/2019,13/07/2019,1536
gol,AYE-6806,17/11/2019,27/11/2019,752
gol,OBT-1842,06/08/2019,28/08/2019,1736
ka,QUB-1398,20/11/2019,11/12/2019,1848
prisma,NRS-4391,09/09/2019,11/09/2019,143
gol,AYE-6806,04/10/2019,13/10/2019,704
ka,DFU-2495,01/06/2019,07/06/2019,423
mobi,KLW-3689,17/09/2019,20/09/2019,190
fiesta,JZM-1560,30/10/2019,06/11/2019,566
fiesta,CVR-6258,19/05/2020,29/05/2020,703
polo,KDI-6957,27/02/2019,19/03/2019,1743
prisma,NRS-4391,04/06/2019,11/06/2019,584
mobi,PIH-7072,03/12/2019,26/12/2019,1773
fit,NRM-9202,19/09/2019,04/10/2019,1289
up,BQW-8446,20/12/2019,22/12/2019,176
etios,VQY-3652,26/09/2019,05/10/2019,592
ka,DFU-2495,04/08/2019,26/08/2019,1582
fiesta,CVR-6258,11/07/2019,08/08/2019,1706
prisma,NRS-4391,14/06/2019,11/07/2019,1707
ka,QUB-1398,22/09/2019,30/09/2019,501
polo,AKR-9372,29/03/2019,19/04/2019,1410
polo,AKR-9372,14/01/2020,25/01/2020,869
mobi,JRL-4186,27/05/2019,17/06/2019,1488
yaris,AGX-3681,29/04/2020,11/05/2020,998
etios,IHP-5411,05/04/2019,08/04/2019,191
fiesta,CVR-6258,20/02/2020,25/02/2020,381
yaris,AGX-3681,07/07/2019,05/08/2019,2594
fiesta,MGG-3957,17/07/2019,08/08/2019,1959
prisma,FSK-6405,24/05/2019,14/06/2019,1774
etios,XNY-5321,26/08/2019,02/09/2019,525
fit,LXG-1120,17/02/2020,05/03/2020,1508
polo,VGS-2609,26/12/2019,05/01/2020,786
prisma,FSK-6405,30/04/2020,26/05/2020,1616
ka,OSS-6709,22/07/2019,07/08/2019,1295
polo,WIW-1273,26/11/2019,30/11/2019,248
fiesta,JZM-1560,29/12/2019,20/01/2020,1858
fiesta,CVR-6258,06/12/2019,27/12/2019,1573
cobalt,VVF-5290,13/03/2020,01/04/2020,1220
etios,NMN-0384,09/12/2019,09/01/2020,1872
celta,ORH-5999,20/06/2019,01/07/2019,709
fit,UIW-0509,26/09/2019,11/10/2019,927
gol,YCH-1476,18/05/2019,31/05/2019,990
fiesta,MGG-3957,26/07/2019,08/08/2019,1071
prisma,FSK-6405,17/01/2020,04/02/2020,1212
gol,AYE-6806,09/06/2019,10/07/2019,2032
prisma,TFN-3716,16/03/2019,25/03/2019,701
etios,IHP-5411,11/09/2019,28/09/2019,1491
polo,KDI-6957,09/02/2019,26/02/2019,1293
ka,QUB-1398,18/10/2019,26/10/2019,553
polo,WIW-1273,24/11/2019,25/12/2019,2474
prisma,HZO-2282,01/07/2019,16/07/2019,1320
fit,UIW-0509,02/05/2019,06/05/2019,254
yaris,AGX-3681,18/03/2020,15/04/2020,1874
cobalt,VVF-5290,01/01/2019,30/01/2019,1863
gol,OBT-1842,07/12/2019,27/12/2019,1564
gol,ZVU-1362,30/09/2019,25/10/2019,1696
fit,LXG-1120,13/07/2019,11/08/2019,2194
gol,YCH-1476,27/07/2019,10/08/2019,1047
polo,WIW-1273,14/11/2019,08/12/2019,1476
etios,RYL-5140,30/03/2020,19/04/2020,1254
polo,WIW-1273,20/04/2020,01/05/2020,799
polo,KDI-6957,16/03/2019,06/04/2019,1470
up,BQW-8446,21/08/2019,12/09/2019,1634
cobalt,NIP-1547,04/08/2019,24/08/2019,1251
polo,AKR-9372,29/07/2019,12/08/2019,1025
cobalt,VVF-5290,18/12/2019,22/12/2019,348
polo,AKR-9372,13/11/2019,29/11/2019,1014
cobalt,AFU-3062,04/12/2019,12/12/2019,555
polo,WIW-1273,20/01/2019,04/02/2019,1301
fiesta,MGG-3957,19/12/2019,09/01/2020,1454
palio,CQY-3680,24/12/2019,14/01/2020,1539
up,GER-3318,31/03/2019,05/04/2019,404
polo,WIW-1273,04/11/2019,16/11/2019,751
fiesta,SSZ-2730,08/09/2019,15/09/2019,570
ka,QUB-1398,15/11/2019,20/11/2019,314
up,GER-3318,17/12/2019,09/01/2020,1515
cobalt,AFU-3062,17/03/2019,16/04/2019,2574
etios,IHP-5411,16/01/2020,18/01/2020,147
ka,LXD-4902,17/12/2019,16/01/2020,2429
yaris,AGX-3681,22/01/2020,30/01/2020,623
ka,OSS-6709,18/12/2019,02/01/2020,1036
cobalt,NIP-1547,24/05/2019,06/06/2019,1132
palio,CQY-3680,03/03/2019,30/03/2019,2318
etios,RYL-5140,09/05/2019,09/06/2019,2170
gol,AYE-6806,04/11/2019,20/11/2019,1158
fit,LXG-1120,20/06/2019,02/07/2019,1072
polo,TWN-3697,15/06/2019,20/06/2019,336
fiesta,SSZ-2730,28/04/2020,07/05/2020,802
fiesta,JZM-1560,13/12/2019,29/12/2019,1134
polo,VGS-2609,18/04/2019,21/04/2019,240
gol,YCH-1476,28/03/2019,12/04/2019,1061
yaris,AGX-3681,06/01/2020,22/01/2020,993
fit,NRM-9202,20/01/2019,23/01/2019,243
fit,NRM-9202,13/09/2019,11/10/2019,2519
yaris,AGX-3681,03/06/2019,18/06/2019,1085
etios,HLK-0219,09/07/2019,17/07/2019,614
fit,LYA-7649,16/01/2020,24/01/2020,651
gol,OBT-1842,17/12/2019,02/01/2020,1271
mobi,JRL-4186,25/03/2019,17/04/2019,1972
fiesta,MGG-3957,08/06/2019,25/06/2019,1149
up,BQW-8446,05/05/2019,08/05/2019,209
cobalt,NIP-1547,27/03/2020,21/04/2020,1664
polo,VGS-2609,22/06/2019,09/07/2019,1483
mobi,JRL-4186,14/02/2020,21/02/2020,586
polo,TWN-3697,27/03/2020,26/04/2020,1920
cobalt,VVF-5290,03/03/2019,05/03/2019,164
polo,TWN-3697,12/09/2019,14/09/2019,146
yaris,DWU-0865,09/02/2020,29/02/2020,1287
yaris,DWU-0865,10/04/2020,08/05/2020,2212
ka,QUB-1398,01/11/2019,09/11/2019,551
ka,QUB-1398,03/06/2019,05/06/2019,121
polo,KDI-6957,10/06/2019,08/07/2019,2311
fit,LXG-1120,23/02/2020,05/03/2020,952
ka,QUB-1398,15/09/2019,24/09/2019,724
polo,VGS-2609,03/10/2019,27/10/2019,2145
etios,IHP-5411,04/06/2019,04/07/2019,2330
fit,LYA-7649,07/07/2019,15/07/2019,576
fit,FUI-1448,16/04/2020,18/04/2020,146
etios,HLK-0219,15/08/2019,15/09/2019,1981
